"","discharge","TN","TP"
"1014",804314880,40996122469.1712,3871856010.97728
"1015",3117312000,158890140794.88,15006291075.072
"1016",2439072000,110506742415.36,19338679922.688
"1017",1073520000,48637841817.6,8511622318.08
"1018",929836800,42128004317.184,7372400755.5072
"1019",430358400,20716833659.904,3046593185.28
"1020",881280000,42423550156.8,6238757376
"1021",1146528000,55192206919.68,8116501017.6
"1022",1113782400,37846504157.184,5361588088.9344
"1023",1309478400,44496285548.544,6303640452.7104
"1024",913334400,31035249045.504,4396660281.4464
"1025",665107200,22600449073.152,3201730285.3632
"1026",1609804800,59259876728.832,8205213700.9152
"1027",2051136000,75506090250.24,10454689419.264
"1028",8853408000,325910238750.72,45126033057.792
"1029",7943616000,292419121213.44,40488801398.784
"1030",5910624000,217580944988.16,30126592382.976
"1031",7117632000,262013130362.88,36278741127.168
"1032",7758720000,395463820492.8,21970212249.6
"1033",5612544000,286072714690.56,15892928593.92
"1034",4943808000,251987080273.92,13999282237.44
"1035",6618240000,337333281177.6,18740737843.2
"1036",4929984000,251282467676.16,13960137093.12
"1037",4315680000,109985622681.6,10631943525.888
"1038",4076352000,103886319882.24,10042344255.2832
"1039",3910464000,99658644295.68,9633668948.5824
"1040",2904768000,74028361052.16,7156074901.7088
"1041",2840832000,96531925893.12,9653192589.312
"1042",1820448000,61859114311.68,6185911431.168
"1043",1696032000,57631438725.12,5763143872.512
"1044",943056000,32045193768.96,3204519376.896
"1045",441072000,14987697131.52,1498769713.152
"1046",354672000,12051811307.52,1205181130.752
"1047",366992640,12470468626.0224,1247046862.60224
"1048",389525760,13236147648.9216,1323614764.89216
"1049",392454720,11113061815.296,1444698035.98848
"1050",385352640,10911953636.352,1418553972.72576
"1051",383598720,10862288234.496,1412097470.48448
"1052",356529600,10095777377.28,1312451059.0464
"1053",387529920,10424926876.7232,910809400.808448
"1054",375822720,10109991957.8112,883294034.208768
"1055",338636160,9109637794.7136,795894670.485504
"1056",377775360,10162519848.3456,887883313.065984
"1057",373178880,9510508538.2656,908781926.989824
"1058",376392960,9592419752.7552,916608998.596608
"1059",419385600,10688092342.272,1021306601.59488
"1060",508619520,12962229501.5424,1238613041.2585
"1061",480556800,10886264635.392,1020587309.568
"1062",436674240,9892173695.3856,927391283.9424
"1063",1026475200,23253194354.688,2179986970.752
"1064",1654560000,37481475686.4,3513888345.6
"1065",1519776000,34428154429.44,3227639477.76
"1066",3627072000,154060608614.4,18487273033.728
"1067",3951936000,167859271987.2,20143112638.464
"1068",3515616000,149326492723.2,17919179126.784
"1069",2134080000,90645474816,10877456977.92
"1070",2017440000,137105867980.8,14281861248
"1071",2540160000,172630086451.2,17982300672
"1072",3103488000,210914037596.16,21970212249.6
"1073",2218752000,150787095920.64,15706989158.4
"1074",2046816000,92734846894.08,8693891896.32
"1075",1666656000,75510983393.28,7079154693.12
"1076",1843776000,83535737978.88,7831475435.52
"1077",1873152000,84866672885.76,7956250583.04
"1078",2629152000,119118674165.76,11167375703.04
"1079",2639520000,112114139904,10463986391.04
"1080",1574208000,66864799641.6,6240714633.216
"1081",1664928000,70718149785.6,6600360646.656
"1082",1740096000,73910925619.2,6898353057.792
"1083",1650240000,65421322444.8,5607541923.84
